Cycle	Correct	Prediction	ActualClass	Similarity	smiles	randomCorrect	randomSimilarity
0	False	type1_2	type1	0.45604395604395603	"CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5"	False	0.1553398058252427
0	False	type1_2	type1	0.3163841807909605	"Cc1cc([nH]n1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C"	False	0.1717171717171717
0	True	type1	type1	0.648854961832061	"COc1cc(cc(c1OC)OC)c2cc(cnc2)c3ccc(cc3)N4CCNCC4"	True	0.1901840490797546
0	False	type2	type1	0.36153846153846153	"CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NCC4CC4"	False	0.1511627906976744
0	True	type1	type1	0.35294117647058826	"CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NC4CCOCC4"	False	0.12949640287769784
0	True	type1	type1	0.8181818181818182	"c1cc(c2cccnc2c1)c3cnn4c3ncc(c4)c5ccc(cc5)N6CCNCC6"	False	0.0962566844919786
0	True	type1	type1	0.4057142857142857	"c1ccc2c(c1)c(ccn2)c3ccc4c(c3)C(=O)N(C=N4)c5ccc(cc5)N6CCOCC6"	False	0.22727272727272727
0	True	type1	type1	0.49122807017543857	"Cc1c(ccc2c1C(=O)NC=N2)c3cccc4c3cccn4"	True	0.1310344827586207
0	False	type1_2	type1	0.352112676056338	"COc1ccc(cc1)Nc2nccc(n2)c3c[nH]nc3c4cccnc4"	True	0.06779661016949153
0	True	type1	type1	0.6541353383458647	"Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C"	True	0.052941176470588235
0	True	type1	type1	0.31	"Cn1c2c(ccc(c2Cl)Cl)c3c1C(=O)NCC3"	True	0.08280254777070063
0	False	type1_2	type1	0.5416666666666666	"c1[nH]c2c(n1)c(ncn2)N"	True	0.125
0	True	type1	type1	0.3503184713375796	"C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O"	True	0.12631578947368421
0	True	type1	type1	0.6140350877192983	"CCOCCN(C[C@H](C[N@]1CCC[C@]2(C1)CC(=O)c3cc(ccc3O2)O)O)S(=O)(=O)c4c(cccc4C)C"	False	0.1509433962264151
0	True	type1	type1	0.30327868852459017	"Cc1[nH]c(nn1)c2ccccc2Nc3c4cc[nH]c4ncn3"	True	0.13725490196078433
0	True	type1	type1	0.32	"c1c(c2c([nH]1)ncnc2[N@]3CCc4c(nc[nH]4)C3)Cl"	True	0.11290322580645161
