Cycle	Correct	Prediction	ActualClass	Similarity	smiles	randomCorrect	randomSimilarity
0	True	type1	type1	0.6776034236804565	"CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5"	True	0.20648967551622419
0	True	type1	type1	0.8384615384615385	"C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4c(c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)CCCC4)NC)OC"	True	0.13709677419354838
0	True	type1	type1	0.6325581395348837	"COc1cc(cc(c1OC)OC)c2cc(cnc2)c3ccc(cc3)N4CCNCC4"	True	0.2502406159769009
0	True	type1	type1	0.9	"c1ccc2c(c1)c(ccn2)c3cnn4c3ncc(c4)c5ccc(cc5)N6CCNCC6"	False	0.29654036243822074
0	True	type1	type1	0.5971769815418024	"COc1cc(cc(c1OC)OC)c2cc(cnc2N)c3cccc(c3)O"	True	0.28921023359288095
0	True	type1	type1	0.7491856677524429	"CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NC4CCOCC4"	True	0.22411953041622198
0	True	type1	type1	0.4222222222222222	"c1cn2c3c(cn2)-c4cc(cc(c4)Cl)OCCOCCNc1n3"	True	0.21691973969631237
0	True	type1	type1	0.7967032967032965	"Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)N4CCNCC4"	True	0.07590132827324478
0	True	type1	type1	0.6003752345215759	"Cc1c(cncc1c2ccc(c(c2)OC)C(=O)N)c3ccc(cc3)N4CCNCC4"	False	0.27153558052434457
0	False	type1_2	type1	0.7027027027027025	"c1[nH]c2c(n1)c(ncn2)N"	True	0.11682242990654204
0	False	type1_2	type1	0.3955841766329346	"CCc1c[nH]c2c1c(ncn2)N3CC[C@@](C3)(CNC(=O)c4ccc(cc4F)F)N"	True	0.15120967741935484
0	False	type1_2	type1	0.414041404140414	"C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O"	True	0.2841918294849023
0	False	type1_2	type1	0.5565529622980251	"c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl"	True	0.23629489603024575
0	True	type1	type1	0.4181494661921708	"C[C@H]1c2c(ncnc2N3CCN(CC3)C(=O)[C@@H](Cc4c[nH]c5c4cccc5)N)CS1"	True	0.21201413427561838
0	False	type1_2	type1	0.5849056603773585	"c1cc(ccc1C[C@@H](CN)C(=O)N2CCN(CC2)c3c4cc[nH]c4ncn3)Cl"	True	0.34849951597289447
0	True	type1	type1	0.55	"Cc1c[nH]c2c1c(ncn2)[N@]3CC[C@H](C3)N"	False	0.197869101978691
0	True	type1	type1	0.5522208883553421	"Cc1[nH]c(nn1)c2ccccc2Nc3c4cc[nH]c4ncn3"	True	0.21479713603818612
0	True	type1	type1	0.48239895697522805	"c1c(c2c([nH]1)ncnc2[N@]3CCc4c(nc[nH]4)C3)Cl"	False	0.1990049751243781
0	False	type2	type1	0.36388140161725063	"C[C@@H]1CC(=O)Nc2c1c(ncn2)N3CCC(CC3)c4nc(cn4CCN5CCCC5)c6ccc(c(c6)C(F)(F)F)F"	False	0.22727272727272724
0	True	type1	type1	0.6404782237403929	"CCn1c2cc(nc(c2nc1C3=C(NON3)N)C#CC(C)(C)O)O[C@@H](CCN)c4ccccc4"	True	0.19147084421235858
0	False	type1_2	type1	0.5614714424007744	"c1cc(ccc1CNC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl"	True	0.22964509394572025
0	True	type1	type1	0.4406779661016949	"c1cc(ccc1c2c[nH]nc2)C3(CCNCC3)c4ccc(cc4)Cl"	True	0.24249422632794454
0	True	type1	type1	0.6949806949806949	"c1cc2cnccc2c(c1)S(=O)(=O)NCCNCCOCc3ccc(cc3)Cl"	True	0.1799242424242424
0	False	type1_2	type1	0.5367793240556661	"CC(C)(C)c1ccc(cc1)CC2(CCN(CC2)c3c4cc[nH]c4ncn3)[NH3+]"	False	0.25450689289501593
0	True	type1	type1	0.38850038850038854	"CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C"	True	0.3090332805071315
