Cycle	Correct	Similarity	smiles
0	True	0.4842105263157895	c1cc(cnc1)C(=O)Nc2c[nH]c3c2cc(cn3)c4ccc(cc4)C#N
0	True	0.6015625	CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)[C@@H](c5ccccc5)OC
0	True	0.5213675213675214	COc1cc(cc(c1OC)OC)c2cc(cnc2)c3ccc(cc3)N4CCNCC4
0	True	0.9175257731958762	c1ccc2c(c1)c(ccn2)c3cnn4c3ncc(c4)c5ccc(cc5)N6CCNCC6
0	True	0.4742268041237113	COc1cc(cc(c1OC)OC)c2cc(cnc2N)c3cccc(c3)O
0	True	0.4409448818897638	c1cc(ccc1c2cnc3c(cnn3c2)c4ccncc4)OCCN5CCCCC5
0	True	0.46938775510204084	c1ccc2c(c1)c(ccn2)c3ccc4c(c3)C(=O)N(C=N4)c5ccc(cc5)N6CCOCC6
0	True	0.6981132075471698	Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)N4CCNCC4
0	True	0.45081967213114754	Cc1c(cncc1c2ccc(c(c2)OC)C(=O)N)c3ccc(cc3)N4CCNCC4
0	True	0.45	Cn1c2c(ccc(c2Cl)Cl)c3c1C(=O)NCC3
0	False	0.6571428571428571	c1[nH]c2c(n1)c(ncn2)N
0	True	0.5833333333333334	CCOCC[N@@](C[C@H](C[N@]1CCC[C@]2(C1)CCc3c(ccc4c3cn[nH]4)O2)O)S(=O)(=O)c5c(cccc5C)C
0	True	0.423728813559322	C[C@H]1c2c(ncnc2N3CCN(CC3)C(=O)[C@@H](Cc4c[nH]c5c4cccc5)N)CS1
0	True	0.5594405594405595	CCOCCN(C[C@H](C[N@]1CCC[C@]2(C1)CC(=O)c3cc(ccc3O2)O)O)S(=O)(=O)c4c(cccc4C)C
0	True	0.45569620253164556	Cc1[nH]c(nn1)c2ccccc2Nc3c4cc[nH]c4ncn3
0	True	0.3972602739726027	c1c(c2c([nH]1)ncnc2[N@]3CCc4c(nc[nH]4)C3)Cl
0	True	0.4	c1ccc(cc1)[C@@H](CN)NC(=O)c2ccc(s2)c3ccnc4c3cc[nH]4
0	True	0.2585034013605442	CCn1c2cc(nc(c2nc1C3=C(NON3)N)C#CC(C)(C)O)O[C@@H](CCN)c4ccccc4
0	False	0.2781954887218045	CCn1c2cc(nc(c2nc1c3c(non3)N)C#CC(C)(C)O)OC[C@@H](Cc4ccccc4)N
0	True	0.26515151515151514	CCn1c2c(cnc(c2nc1c3c(non3)N)C#CC(C)(C)O)OC[C@H]4CCCNC4
0	True	0.7263157894736842	c1cc(ccc1CNC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl
0	True	0.3937007874015748	Cc1c2cc(ccc2[nH]n1)c3cc(cnc3)OC[C@H](Cc4c[nH]c5c4cccc5)N
0	True	0.3333333333333333	c1cc(ccc1c2c[nH]nc2)C3(CCNCC3)c4ccc(cc4)Cl
0	True	0.59	c1cc2cnccc2c(c1)S(=O)(=O)NCCNCCOCc3ccc(cc3)Cl
0	True	0.7526881720430108	C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F
0	True	0.5555555555555556	C[C@H](c1cc(ccc1N2NC=CN2)F)Oc3cc(cnc3N)c4cccc(c4)S(=O)(=O)C
0	True	0.32934131736526945	C=CCNS(=O)(=O)c1cccc(c1)C(=O)Nc2nc3cc(ccc3n2C4CCC(CC4)CO)CN5CCCCC5
