Cycle	Correct	Prediction	ActualClass	Similarity	smiles	randomCorrect
0	True	type1	type1	0.7942583732057417	"c1cc(cnc1)C(=O)Nc2c[nH]c3c2cc(cn3)c4ccc(cc4)C#N"	True
0	True	type1	type1	0.6934306569343066	"CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5"	True
0	True	type1	type1	0.728744939271255	"CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)[C@@H](c5ccccc5)OC"	False
0	False	type1_2	type1	0.48068669527896996	"Cc1cc([nH]n1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C"	True
0	True	type1	type1	0.5454545454545454	"c1ccc2c(c1)c(ccn2)c3cnn4c3ncc(c4)c5ccc(cc5)N6CCNCC6"	True
0	True	type1	type1	0.5795454545454546	"COc1cc(cc(c1OC)OC)c2cc(cnc2N)c3cccc(c3)O"	True
0	True	type1	type1	0.7796610169491526	"CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NC4CCOCC4"	True
0	True	type1	type1	0.4222222222222222	"c1cn2c3c(cn2)-c4cc(cc(c4)Cl)OCCOCCNc1n3"	True
0	True	type1	type1	0.5384615384615384	"c1cc(c2cccnc2c1)c3cnn4c3ncc(c4)c5ccc(cc5)N6CCNCC6"	False
0	True	type1	type1	0.5474452554744526	"c1ccc2c(c1)c(ccn2)c3ccc4c(c3)C(=O)N(C=N4)c5ccc(cc5)N6CCOCC6"	True
0	False	type1_2	type1	0.5208333333333334	"COc1ccc(cc1)Nc2nccc(n2)c3c[nH]nc3c4cccnc4"	True
0	False	type1_2	type1	0.2840909090909091	"CCNc1cc\2c(c(c1)O)C(=O)O[C@H]([C@@H](/C=C\C(=O)[C@H]([C@H](C/C=C2)O)O)C)C"	True
0	True	type1	type1	0.7909090909090909	"Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C"	True
0	True	type1	type1	0.772093023255814	"Cc1c(cncc1c2ccc(c(c2)OC)C(=O)N)c3ccc(cc3)N4CCNCC4"	True
0	True	type1	type1	0.8	"c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl"	False
0	True	type1	type1	0.7608695652173914	"CCOCC[N@@](C[C@H](C[N@]1CCC[C@]2(C1)CCc3c(ccc4c3cn[nH]4)O2)O)S(=O)(=O)c5c(cccc5C)C"	True
0	True	type1	type1	0.484304932735426	"C[C@H]1c2c(ncnc2N3CCN(CC3)C(=O)[C@@H](Cc4c[nH]c5c4cccc5)N)CS1"	True
0	True	type1	type1	0.7135678391959799	"c1cc(ccc1C[C@@H](CN)C(=O)N2CCN(CC2)c3c4cc[nH]c4ncn3)Cl"	True
0	True	type1	type1	0.4852941176470588	"Cc1c[nH]c2c1c(ncn2)[N@]3CC[C@H](C3)N"	False
0	True	type1	type1	0.4605263157894737	"c1c(c2c([nH]1)ncnc2[N@]3CCc4c(nc[nH]4)C3)Cl"	True
0	True	type1	type1	0.6382978723404256	"CCn1c2cc(nc(c2nc1C3=C(NON3)N)C#CC(C)(C)O)O[C@@H](CCN)c4ccccc4"	True
0	True	type1	type1	0.7244094488188977	"Cc1c2cc(ccc2[nH]n1)c3cc(cnc3)OC[C@H](Cc4c[nH]c5c4cccc5)N"	True
0	True	type1	type1	0.6545454545454545	"c1cc2cnccc2c(c1)S(=O)(=O)NCCNCCOCc3ccc(cc3)Cl"	False
0	True	type1	type1	0.6735751295336787	"CC(C)(C)c1ccc(cc1)CC2(CCN(CC2)c3c4cc[nH]c4ncn3)[NH3+]"	True
0	True	type1	type1	0.7850467289719626	"C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F"	False
0	True	type1	type1	0.6929824561403509	"C[C@H](c1cc(ccc1N2NC=CN2)F)Oc3cc(cnc3N)c4cccc(c4)S(=O)(=O)C"	True
